player_name,team_name,league,nationality,position,alt_position,ovr,team_id
Josip Staniši?,FC Bayern München,Bundesliga,Croatia,RB,['CB'],77,3
Calvin Stengs,Feyenoord,Eredivisie,Holland,CAM,['RW'],77,54
Kevin Stöger,M'gladbach,Bundesliga,Austria,CAM,['CM'],77,81
Yukinari Sugawara,Southampton,Premier League,Japan,RB,,77,57
Josip Šutalo,Ajax,Eredivisie,Croatia,CB,,77,69
Mattias Svanberg,VfL Wolfsburg,Bundesliga,Sweden,CM,['CDM'],77,63
Mathys Tel,Spurs,Premier League,France,ST,"['LM', 'RM']",77,16
Arthur Theate,Frankfurt,Bundesliga,Belgium,CB,,77,46
Malik Tillman,Leverkusen,Bundesliga,United States,CAM,"['LW', 'CM']",77,10
Lucas Torró,CA Osasuna,LALIGA EA SPORTS,Spain,CDM,['CM'],77,77
Óscar Trejo,Rayo Vallecano,LALIGA EA SPORTS,Argentina,CAM,['ST'],77,56
Adrien Truffert,Stade Rennais FC,Ligue 1 McDonald's,France,LB,['LM'],77,88
Konstantinos Tsimikas,Liverpool,Premier League,Greece,LB,,77,6
Bruma,SC Braga,Liga Portugal,Portugal,LM,"['CAM', 'RW', 'LW']",77,48
Martin Valjent,RCD Mallorca,LALIGA EA SPORTS,Slovakia,CB,,77,41
Sepp van den Berg,Brentford,Premier League,Holland,CB,,77,71
Jamie Vardy,Leicester City,Premier League,England,ST,,77,87
Vesga,Athletic Club,LALIGA EA SPORTS,Spain,CM,['CDM'],77,19
Elye Wahi,OM,Ligue 1 McDonald's,France,ST,,77,70
Wout Weghorst,Ajax,Eredivisie,Holland,ST,,77,69
Mitchell Weiser,SV Werder Bremen,Bundesliga,Germany,RB,['RM'],77,93
Joe Willock,Newcastle Utd,Premier League,England,CM,['CAM'],77,21
Patrick Wimmer,VfL Wolfsburg,Bundesliga,Austria,RM,"['ST', 'RW']",77,63
Ýsmail Yüksek,Fenerbahçe,Trendyol Süper Lig,Turkey,CDM,['CM'],75,30
Illia Zabarnyi,AFC Bournemouth,Premier League,Ukraine,CB,,77,65
Dan-Axel Zagadou,VfB Stuttgart,Bundesliga,France,CB,,77,60
Nicola Zalewski,AS Roma,Serie A Enilive,Poland,LM,"['LB', 'RM', 'LW']",77,13
Simon Adingra,Brighton,Premier League,Côte d'Ivoire,RM,"['LM', 'RW']",76,55
Michel Aebischer,Bologna,Serie A Enilive,Switzerland,CM,"['CDM', 'RM']",76,52
Kristoffer Ajer,Brentford,Premier League,Norway,CB,['RB'],76,71
Maghnes Akliouche,AS Monaco,Ligue 1 McDonald's,France,RM,"['CAM', 'RW']",76,53
Chuba Akpom,Ajax,Eredivisie,England,ST,['CAM'],76,69
Stephen Eustáquio,FC Porto,Liga Portugal,Canada,CDM,['CM'],76,27
Taiwo Awoniyi,Nott'm Forest,Premier League,Nigeria,ST,,76,79
Hernani,Parma,Serie A Enilive,Brazil,CDM,['CM'],76,101
Eric Bailly,Villarreal CF,LALIGA EA SPORTS,Côte d'Ivoire,CB,,76,32
Tommaso Baldanzi,AS Roma,Serie A Enilive,Italy,CAM,['ST'],76,13
Enis Bardhi,Konyaspor,Trendyol Süper Lig,North Macedonia,CAM,"['CM', 'LM']",76,108
Leandro Barreiro Martins,SL Benfica,Liga Portugal,Luxembourg,CM,['CDM'],76,29
Pablo Barrios,Atlético de Madrid,LALIGA EA SPORTS,Spain,CM,['CDM'],76,9
Federico Baschirotto,Lecce,Serie A Enilive,Italy,CB,,76,66
Calvin Bassey,Fulham,Premier League,Nigeria,CB,,76,44
Augusto Batalla,Rayo Vallecano,LALIGA EA SPORTS,Argentina,GK,,76,56
Altay Bayýndýr,Man Utd,Premier League,Turkey,GK,,76,15
Ihlas Bebou,TSG Hoffenheim,Bundesliga,Togo,ST,"['RM', 'RW']",76,39
Sheraldo Becker,Real Sociedad,LALIGA EA SPORTS,Suriname,ST,['RM'],76,28
Raoul Bellanova,Atalanta,Serie A Enilive,Italy,RB,['RM'],76,40
Héctor Bellerín,Real Betis,LALIGA EA SPORTS,Spain,RB,,76,38
Sander Berge,Fulham,Premier League,Norway,CM,['CDM'],76,44
Hicham Boudaoui,OGC Nice,Ligue 1 McDonald's,Algeria,CM,['CDM'],76,64
Josip Brekalo,Fiorentina,Serie A Enilive,Croatia,CAM,"['LW', 'RW']",76,68
Christian Burgess,R. Union St.-G.,1A Pro League,England,CB,,76,102
Jonathan Burkardt,1. FSV Mainz 05,Bundesliga,Germany,ST,,76,85
Rémy Cabella,LOSC Lille,Ligue 1 McDonald's,France,CAM,['LM'],76,49
Mahdi Camara,Stade Brestois 29,Ligue 1 McDonald's,France,CM,['CAM'],76,76
Franco Cervi,RC Celta,LALIGA EA SPORTS,Argentina,LM,"['RM', 'LW']",76,25
Pedro Chirivella,FC Nantes,Ligue 1 McDonald's,Spain,CDM,['CM'],76,103
Ryan Christie,AFC Bournemouth,Premier League,Scotland,CM,['CDM'],76,65
Geny Catamo,Sporting CP,Liga Portugal,Mozambique,RM,"['RB', 'RW']",76,26
Mahmoud Dahoud,Frankfurt,Bundesliga,Germany,CM,['CDM'],76,46
Ben Davies,Spurs,Premier League,Wales,CB,['LB'],76,16
Leif Davis,Ipswich,Premier League,England,LB,,76,99
Maxim De Cuyper,Club Brugge,1A Pro League,Belgium,LB,['RB'],76,74
Mattia De Sciglio,Empoli,Serie A Enilive,Italy,RB,['LB'],76,105
Johnny Cardoso,Real Betis,LALIGA EA SPORTS,United States,CDM,['CM'],76,38
Alexsandro,LOSC Lille,Ligue 1 McDonald's,Brazil,CB,,76,49
Zeno Debast,Sporting CP,Liga Portugal,Belgium,CB,,76,26
Kévin Denkey,Cercle Brugge,1A Pro League,Togo,ST,,76,106
Mouctar Diakhaby,Valencia CF,LALIGA EA SPORTS,Guinea,CB,,76,22
Junior Dina Ebimbe,Frankfurt,Bundesliga,France,RM,"['CM', 'RB', 'RW']",76,46
Eren Dinkçi,SC Freiburg,Bundesliga,Germany,RM,['RW'],76,42
Sofiane Diop,OGC Nice,Ligue 1 McDonald's,Morocco,LW,"['CAM', 'LM']",76,64
Kasper Dolberg,RSC Anderlecht,1A Pro League,Denmark,ST,,76,92
Désiré Doué,Paris SG,Ligue 1 McDonald's,France,LM,"['CM', 'LW']",76,5
Martin Dúbravka,Newcastle Utd,Premier League,Slovakia,GK,,76,21
Chidera Ejuke,Sevilla FC,LALIGA EA SPORTS,Nigeria,LM,"['RM', 'LW']",76,67
Hugo Ekitike,Frankfurt,Bundesliga,France,ST,,76,46
Bilal El Khannouss,Leicester City,Premier League,Morocco,CAM,['CM'],76,87
Anthony Elanga,Nott'm Forest,Premier League,Sweden,RM,"['LM', 'RW']",76,79
Nico Elvedi,M'gladbach,Bundesliga,Switzerland,CB,,76,81
Tiago Djaló,Juventus,Serie A Enilive,Portugal,CB,,76,18
Wout Faes,Leicester City,Premier League,Belgium,CB,,76,87
Nicolò Fagioli,Juventus,Serie A Enilive,Italy,CDM,['CM'],76,18
Abdul Fatawu,Leicester City,Premier League,Ghana,RW,['RM'],76,87
Valery,RCD Mallorca,LALIGA EA SPORTS,Spain,LM,"['RM', 'LB', 'LW']",76,41
Jordan Ferri,Montpellier,Ligue 1 McDonald's,France,CDM,['CM'],76,72
Alessandro Florenzi,AC Milan,Serie A Enilive,Italy,RB,['LB'],76,14
Michael Folorunsho,SSC Napoli,Serie A Enilive,Italy,CAM,['CM'],76,20
Pablo Fornals,Real Betis,LALIGA EA SPORTS,Spain,LM,"['CAM', 'RM', 'LW']",76,38
Morten Frendrup,Genoa,Serie A Enilive,Denmark,CM,['CDM'],76,97
Joan García,RCD Espanyol,LALIGA EA SPORTS,Spain,GK,,76,100
Yannick Gerhardt,VfL Wolfsburg,Bundesliga,Germany,CM,"['LM', 'CDM']",76,63
Bryan Gil,Girona FC,LALIGA EA SPORTS,Spain,LM,"['RM', 'LW']",76,36
Mario Gila,Lazio,Serie A Enilive,Spain,CB,,76,34
Adrià Pedrosa,Sevilla FC,LALIGA EA SPORTS,Spain,LB,,76,67
Pierluigi Gollini,Genoa,Serie A Enilive,Italy,GK,,76,97
Toti,Wolves,Premier League,Portugal,CB,['LB'],76,75
Gabriel Sara,Galatasaray,Trendyol Süper Lig,Brazil,CM,"['CAM', 'RM']",80,12
Gorosabel,Athletic Club,LALIGA EA SPORTS,Spain,RB,,76,19
Jeffrey Gouweleeuw,FC Augsburg,Bundesliga,Holland,CB,,76,107
Idrissa Gueye,Everton,Premier League,Senegal,CDM,['CM'],76,33
Robin Hack,M'gladbach,Bundesliga,Germany,LM,"['ST', 'LW']",76,81
Andreas Hanche-Olsen,1. FSV Mainz 05,Bundesliga,Norway,CB,,76,85
Amine Harit,OM,Ligue 1 McDonald's,Morocco,CM,['CAM'],76,70
Jack Harrison,Everton,Premier League,England,RM,"['CAM', 'RW']",76,33
Guilherme Sityá,Konyaspor,Trendyol Süper Lig,Brazil,LB,['LM'],76,108
Mads Hermansen,Leicester City,Premier League,Denmark,GK,,76,87
Aridane,Rayo Vallecano,LALIGA EA SPORTS,Spain,CB,,76,56
Aaron Hickey,Brentford,Premier League,Scotland,RB,['LB'],76,71
Adam Hlo?ek,TSG Hoffenheim,Bundesliga,Czech Republic,ST,['CAM'],76,39
Gustav Isaksen,Lazio,Serie A Enilive,Denmark,RW,"['LW', 'ST', 'RM']",76,34
Ko Itakura,M'gladbach,Bundesliga,Japan,CB,['CDM'],76,81
Luka Ivanušec,Feyenoord,Eredivisie,Croatia,LW,"['CAM', 'LM']",76,54
Mauro Júnior,PSV,Eredivisie,Brazil,LB,"['CM', 'RB']",76,50
Vitaly Janelt,Brentford,Premier League,Germany,CM,"['CDM', 'LB']",76,71
Adnan Januzaj,UD Las Palmas,LALIGA EA SPORTS,Belgium,RW,"['LW', 'RM']",76,61
Josip Juranovi?,Union Berlin,Bundesliga,Croatia,RB,['LB'],76,84
Ozan Kabak,TSG Hoffenheim,Bundesliga,Turkey,CB,,76,39
Pavel Kade?ábek,TSG Hoffenheim,Bundesliga,Czech Republic,RB,['RM'],76,39
Jesper Karlsson,Bologna,Serie A Enilive,Sweden,LW,['LM'],76,52
Thilo Kehrer,AS Monaco,Ligue 1 McDonald's,Germany,CB,['RB'],76,53
Jakub Kiwior,Arsenal,Premier League,Poland,LB,['CB'],76,4
Ansgar Knauff,Frankfurt,Bundesliga,Germany,RM,"['LM', 'CAM', 'RW']",76,46
Kouadio Manu Koné,AS Roma,Serie A Enilive,France,CM,['CDM'],76,13
Christian Kouamé,Fiorentina,Serie A Enilive,Côte d'Ivoire,ST,"['LW', 'RW']",76,68
Rasmus Kristensen,Frankfurt,Bundesliga,Denmark,RB,['CB'],76,46
Maxence Lacroix,Crystal Palace,Premier League,France,CB,,76,51
Alban Lafont,FC Nantes,Ligue 1 McDonald's,France,GK,,76,103
Kenny Lala,Stade Brestois 29,Ligue 1 McDonald's,France,RB,,76,76
Lee Jae Sung,1. FSV Mainz 05,Bundesliga,Korea Republic,CAM,['CM'],76,85
Emerson Royal,AC Milan,Serie A Enilive,Brazil,RB,['CB'],76,14
Clément Lenglet,Atlético de Madrid,LALIGA EA SPORTS,France,CB,,76,9
Rico Lewis,Manchester City,Premier League,England,RB,['CDM'],76,2
Sean Longstaff,Newcastle Utd,Premier League,England,CM,['CDM'],76,21
Fermín,FC Barcelona,LALIGA EA SPORTS,Spain,CM,"['LW', 'CAM']",76,8
Diego López,Valencia CF,LALIGA EA SPORTS,Spain,LM,"['RM', 'CAM', 'LW']",76,22
Deiver Machado,RC Lens,Ligue 1 McDonald's,Colombia,LB,['LM'],76,45
Tiago Silva,Vitória SC,Liga Portugal,Portugal,CM,['CAM'],76,109
Arne Maier,FC Augsburg,Bundesliga,Germany,CM,"['RM', 'CDM']",76,107
Patrick Mainka,Heidenheim,Bundesliga,Germany,CB,,76,110
Tyrell Malacia,Man Utd,Premier League,Holland,LB,,76,15
,,Trendyol Süper Lig,,,,,
Aïssa Mandi,LOSC Lille,Ligue 1 McDonald's,Algeria,CB,['RB'],76,49
Orel Mangala,Everton,Premier League,Belgium,CM,['CDM'],76,33
Marcano,FC Porto,Liga Portugal,Spain,CB,,76,27
Mika Mármol,UD Las Palmas,LALIGA EA SPORTS,Spain,CB,,76,61
Óscar Valentín,Rayo Vallecano,LALIGA EA SPORTS,Spain,CDM,['CM'],76,56
Clinton Mata,OL,Ligue 1 McDonald's,Angola,RB,['CB'],76,43
Azor Matusiwa,Stade Rennais FC,Ligue 1 McDonald's,Holland,CDM,['CM'],76,88
Stephy Mavididi,Leicester City,Premier League,England,LW,['LM'],76,87
Quentin Merlin,OM,Ligue 1 McDonald's,France,LB,['LM'],76,70
Thomas Meunier,LOSC Lille,Ligue 1 McDonald's,Belgium,RB,['RM'],76,49
Yerry Mina,Cagliari,Serie A Enilive,Colombia,CB,,76,95
Miranda,Bologna,Serie A Enilive,Spain,LB,,76,52
Gonzalo Montiel,Sevilla FC,LALIGA EA SPORTS,Argentina,RB,,76,67
Alberto Moreno,Como,Serie A Enilive,Spain,LB,,76,47
Sam Morsy,Ipswich,Premier League,Egypt,CDM,['CM'],76,99
Dany Mota,Monza,Serie A Enilive,Portugal,ST,"['CAM', 'LM']",76,82
Steve Mounié,FC Augsburg,Bundesliga,Benin,ST,,76,107
Marshall Munetsi,Stade de Reims,Ligue 1 McDonald's,Zimbabwe,CM,['CAM'],76,89
Jacob Murphy,Newcastle Utd,Premier League,England,RW,['RM'],76,21
Fran Navarro,FC Porto,Liga Portugal,Spain,ST,,76,27
Youssouf Ndayishimiye,OGC Nice,Ligue 1 McDonald's,Burundi,CDM,"['CM', 'CB']",76,64
Tanguy Ndombele,OGC Nice,Ligue 1 McDonald's,France,CM,['CDM'],76,64
Florian Neuhaus,M'gladbach,Bundesliga,Germany,CM,['CAM'],76,81
Sikou Niakaté,SC Braga,Liga Portugal,Mali,CB,['LB'],76,48
Moussa Niakhaté,OL,Ligue 1 McDonald's,Senegal,CB,,76,43
Rasmus Nicolaisen,Toulouse FC,Ligue 1 McDonald's,Denmark,CB,,76,91
Eddie Nketiah,Crystal Palace,Premier League,England,ST,,76,51
Anthony Nwakaeme,Trabzonspor,Trendyol Süper Lig,Nigeria,ST,['LW'],76,58
Ørjan Nyland,Sevilla FC,LALIGA EA SPORTS,Norway,GK,,76,67
Odriozola,Real Sociedad,LALIGA EA SPORTS,Spain,RB,,76,28
Nick Olij,Sparta Rotterdam,Eredivisie,Holland,GK,,76,112
Paul Ebere Onuachu,Trabzonspor,Trendyol Süper Lig,Nigeria,ST,,79,58
Salih Özcan,VfL Wolfsburg,Bundesliga,Turkey,CDM,['CM'],76,63
Fabiano Parisi,Fiorentina,Serie A Enilive,Italy,LB,['RB'],76,68
Strahinja Pavlovi?,AC Milan,Serie A Enilive,Serbia,CB,,76,14
Carles Pérez,Getafe CF,LALIGA EA SPORTS,Spain,RM,"['CAM', 'RW']",76,59
Portu,Girona FC,LALIGA EA SPORTS,Spain,RM,"['LM', 'RW']",76,36
Beñat Prados,Athletic Club,LALIGA EA SPORTS,Spain,CM,"['CDM', 'CB']",76,19
Grischa Prömel,TSG Hoffenheim,Bundesliga,Germany,CM,['CDM'],76,39
Eduardo Quaresma,Sporting CP,Liga Portugal,Portugal,CB,['RB'],76,26
Raíllo,RCD Mallorca,LALIGA EA SPORTS,Spain,CB,,76,41
Pepe Reina,Como,Serie A Enilive,Spain,GK,,76,47
Luiz Júnior,Villarreal CF,LALIGA EA SPORTS,Brazil,GK,,76,32
Mateo Retegui,Atalanta,Serie A Enilive,Italy,ST,,76,40
Chris Richards,Crystal Palace,Premier League,United States,CB,['CDM'],76,51
Manuel Riemann,VfL Bochum 1848,Bundesliga,Germany,GK,,76,113
Igor Thiago,Brentford,Premier League,Brazil,ST,,76,71
Morato,Nott'm Forest,Premier League,Brazil,CB,['LB'],76,79
Pedro,Lazio,Serie A Enilive,Spain,RW,"['LW', 'RM']",76,34
Dani Rodríguez,RCD Mallorca,LALIGA EA SPORTS,Spain,LM,"['RM', 'CM', 'LW']",76,41
Vitor Roque,Real Betis,LALIGA EA SPORTS,Brazil,ST,"['RW', 'LW']",76,38
Daniele Rugani,Juventus,Serie A Enilive,Italy,CB,,76,18
Aitor Ruibal,Real Betis,LALIGA EA SPORTS,Spain,RB,"['RM', 'LM']",76,38
Abel Ruiz,Girona FC,LALIGA EA SPORTS,Spain,ST,['LM'],76,36
Michal Sadílek,FC Twente,Eredivisie,Czech Republic,CDM,['CM'],76,73
Ismael Saibari,PSV,Eredivisie,Morocco,CAM,"['CM', 'RW']",76,50
Mohammed Salisu,AS Monaco,Ligue 1 McDonald's,Ghana,CB,,76,53
Philippe Sandler,N.E.C. Nijmegen,Eredivisie,Holland,CB,,76,114
Morgan Sanson,OGC Nice,Ligue 1 McDonald's,France,CM,['CAM'],76,64
Danilo,Nott'm Forest,Premier League,Brazil,CDM,['CM'],76,79
Ismaïla Sarr,Crystal Palace,Premier League,Senegal,RW,"['RM', 'LM']",76,51
Antoine Semenyo,AFC Bournemouth,Premier League,Ghana,RM,"['LM', 'RW']",76,65
Tuta,Frankfurt,Bundesliga,Brazil,CB,,76,46
Moses Simon,FC Nantes,Ligue 1 McDonald's,Nigeria,LM,"['LW', 'ST']",76,103
Riccardo Sottil,Fiorentina,Serie A Enilive,Italy,LW,['LM'],76,68
Gabriel Strefezza,Como,Serie A Enilive,Brazil,RW,['RM'],76,47
Cristhian Stuani,Girona FC,LALIGA EA SPORTS,Uruguay,ST,,76,36
Alex Suárez,UD Las Palmas,LALIGA EA SPORTS,Spain,CB,['RB'],76,61
Crysencio Summerville,West Ham,Premier League,Holland,LM,"['RM', 'LW']",76,35
Adrien Tameze,Torino,Serie A Enilive,France,CB,"['CDM', 'CM']",76,37
Marcus Tavernier,AFC Bournemouth,Premier League,England,LM,"['RM', 'LW']",76,65
Nathan Tella,Leverkusen,Bundesliga,Nigeria,RM,"['LM', 'CAM', 'RW']",76,10
Kenny Tete,Fulham,Premier League,Holland,RB,,76,44
Corentin Tolisso,OL,Ligue 1 McDonald's,France,CM,['CDM'],76,43
Lucas Tousart,Union Berlin,Bundesliga,France,CDM,['CM'],76,84
Bertrand Traoré,Ajax,Eredivisie,Burkina Faso,RW,['RM'],76,69
Cengiz Ünder,Fenerbahçe,Trendyol Süper Lig,Turkey,RW,['RM'],76,30
Branco van den Boomen,Ajax,Eredivisie,Holland,CM,['CDM'],76,69
Jan Paul van Hecke,Brighton,Premier League,Holland,CB,,76,55
Joël Veltman,Brighton,Premier League,Holland,RB,['CB'],76,55
Bart Verbruggen,Brighton,Premier League,Holland,GK,,76,55
Arthur Vermeeren,RB Leipzig,Bundesliga,Belgium,CDM,['CM'],76,23
Jannik Vestergaard,Leicester City,Premier League,Denmark,CB,,76,87
Kevin Volland,Union Berlin,Bundesliga,Germany,ST,['CAM'],76,84
Kyle Walker-Peters,Southampton,Premier League,England,RB,,76,57
Adam Webster,Brighton,Premier League,England,CB,,76,55
Danny Welbeck,Brighton,Premier League,England,ST,,76,55
Timon Wellenreuther,Feyenoord,Eredivisie,Germany,GK,,76,54
Neco Williams,Nott'm Forest,Premier League,Wales,RB,,76,79
Harry Winks,Leicester City,Premier League,England,CDM,['CM'],76,87
Chris Wood,Nott'm Forest,Premier League,New Zealand,ST,,76,79
Zaydou Youssouf,FC Famalicão,Liga Portugal,France,CM,['CDM'],76,115
Rodrigo Zalazar,SC Braga,Liga Portugal,Uruguay,CM,"['CAM', 'CDM']",76,48
Michael Zetterer,SV Werder Bremen,Bundesliga,Germany,GK,,76,93
Adem Zorgane,Sp. Charleroi,1A Pro League,Algeria,CM,['CDM'],76,116
Yunis Abdelhamid,AS Saint-Étienne,Ligue 1 McDonald's,Morocco,CB,,75,117
Zakaria Aboukhlal,Toulouse FC,Ligue 1 McDonald's,Morocco,RM,"['ST', 'RW']",75,91
Ché Adams,Torino,Serie A Enilive,Scotland,ST,,75,37
Ola Aina,Nott'm Forest,Premier League,Nigeria,LB,,75,79
Musa Al Tamari,Montpellier,Ligue 1 McDonald's,Jordan,RM,"['LM', 'ST', 'RW']",75,72
Juan Cruz,CA Osasuna,LALIGA EA SPORTS,Spain,LB,['CB'],75,77
Samu,Vitória SC,Liga Portugal,Portugal,CM,['CAM'],75,109
Mohamed Amoura,VfL Wolfsburg,Bundesliga,Algeria,ST,['RM'],75,63
Elliot Anderson,Nott'm Forest,Premier League,England,CM,['LW'],75,79
Cameron Archer,Southampton,Premier League,England,ST,,75,57
Copete,RCD Mallorca,LALIGA EA SPORTS,Spain,CB,,75,41
Adam Armstrong,Southampton,Premier League,England,ST,['RW'],75,57
Kristjan Asllani,Inter,Serie A Enilive,Albania,CDM,['CM'],75,7
Jordan Ayew,Leicester City,Premier League,Ghana,RW,"['RM', 'LW']",75,87
Kaan Ayhan,Galatasaray,Trendyol Süper Lig,Turkey,RB,"['CB', 'CDM']",75,12
Cédric Bakambu,Real Betis,LALIGA EA SPORTS,Congo DR,ST,,75,38
Dilane Bakwa,Strasbourg,Ligue 1 McDonald's,France,RM,['RW'],75,83
Michel Ange Balikwisha,Royal Antwerp FC,1A Pro League,Belgium,LM,"['LW', 'CM']",75,62
Kike Barja,CA Osasuna,LALIGA EA SPORTS,Spain,RM,"['LM', 'RW']",75,77
Barrenetxea,Real Sociedad,LALIGA EA SPORTS,Spain,LW,"['RW', 'LM']",75,28
Riechedly Bazoer,Konyaspor,Trendyol Süper Lig,Holland,CB,['CDM'],75,108
Jean-Ricner Bellegarde,Wolves,Premier League,France,CM,"['CDM', 'LW']",75,75
Lucas Beltrán,Fiorentina,Serie A Enilive,Argentina,ST,['CAM'],75,68
Adrián Bernabé,Parma,Serie A Enilive,Spain,CAM,"['CM', 'CDM']",75,101
Juan Bernat,Villarreal CF,LALIGA EA SPORTS,Spain,LB,,75,32
Jaka Bijol,Udinese,Serie A Enilive,Slovenia,CB,,75,118
Conor Bradley,Liverpool,Premier League,Northern Ireland,RB,,75,6
Marius Bülter,TSG Hoffenheim,Bundesliga,Germany,LM,"['ST', 'LW']",75,39
Jamie Bynoe-Gittens,Chelsea,Premier League,England,LM,['LW'],75,24
Tom Cairney,Fulham,Premier League,Scotland,CM,"['CDM', 'CAM']",75,44
Duje ?aleta-Car,OL,Ligue 1 McDonald's,Croatia,CB,,75,43
Sergi Cardona,Villarreal CF,LALIGA EA SPORTS,Spain,LB,['LM'],75,32
Vitinha,Genoa,Serie A Enilive,Portugal,ST,,75,97
Jean-Charles Castelletto,FC Nantes,Ligue 1 McDonald's,Cameroon,CB,,75,103
Alessio Castro-Montes,R. Union St.-G.,1A Pro League,Belgium,RM,"['LM', 'RB', 'RW']",75,102
Ricardo Batista,Casa Pia AC,Liga Portugal,Portugal,GK,,75,119
Zeki Çelik,AS Roma,Serie A Enilive,Turkey,RB,['RM'],75,13
Conor Chaplin,Ipswich,Premier League,England,CAM,['ST'],75,99
Rayan Cherki,OL,Ligue 1 McDonald's,France,CAM,"['LW', 'RW']",75,43
Joris Chotard,Montpellier,Ligue 1 McDonald's,France,CDM,['CM'],75,72
Jack Clarke,Ipswich,Premier League,England,LM,['LW'],75,99
Saúl Coco,Torino,Serie A Enilive,Equatorial Guinea,CB,,75,37
Nathan Collins,Brentford,Premier League,Republic of Ireland,CB,,75,71
Santi Comesaña,Villarreal CF,LALIGA EA SPORTS,Spain,CM,['CDM'],75,32
Maxwel Cornet,Southampton,Premier League,Côte d'Ivoire,LM,"['ST', 'LW']",75,57
Tomáš ?van?ara,M'gladbach,Bundesliga,Czech Republic,ST,,75,81
Danilo D'Ambrosio,Monza,Serie A Enilive,Italy,CB,['RB'],75,82
José Fonte,Casa Pia AC,Liga Portugal,Portugal,CB,,75,119
Otávio,FC Porto,Liga Portugal,Brazil,CB,,75,27
Andrew,Gil Vicente,Liga Portugal,Brazil,GK,,75,120
Bobby De Cordova-Reid,Leicester City,Premier League,Jamaica,RM,"['LM', 'RW']",75,87
Aderllan Santos,Rio Ave FC,Liga Portugal,Brazil,CB,,75,121
Enrico Delprato,Parma,Serie A Enilive,Italy,RB,['CB'],75,101
Leander Dendoncker,RSC Anderlecht,1A Pro League,Belgium,CM,"['CDM', 'CB']",75,92
Arthur Desmas,Havre AC,Ligue 1 McDonald's,France,GK,,75,122
Amad Diallo,Man Utd,Premier League,Côte d'Ivoire,RM,"['CAM', 'RW']",75,15
Krépin Diatta,AS Monaco,Ligue 1 McDonald's,Senegal,RM,['RW'],75,53
Niklas Dorsch,Heidenheim,Bundesliga,Germany,CDM,['CM'],75,110
Abdoulaye Doucouré,Everton,Premier League,Mali,CAM,['CM'],75,33
Flynn Downes,Southampton,Premier League,England,CDM,['CM'],75,57
Radu Dr?gu?in,Spurs,Premier League,Romania,CB,,75,16
Léo Duarte,Baþakþehir,Trendyol Süper Lig,Brazil,CB,['RB'],75,104
Odsonne Edouard,Leicester City,Premier League,France,ST,,75,87
Maximilian Eggestein,SC Freiburg,Bundesliga,Germany,CDM,['CM'],75,42
Neil El Aynaoui,RC Lens,Ligue 1 McDonald's,Morocco,CM,['CDM'],75,45
Embarba,Rayo Vallecano,LALIGA EA SPORTS,Spain,LM,"['RM', 'LW']",75,56
Giovanni Fabbian,Bologna,Serie A Enilive,Italy,CM,['CAM'],75,52
Marco Davide Faraoni,Hellas Verona,Serie A Enilive,Italy,RM,"['RB', 'RW']",75,98
Bernardo,VfL Bochum 1848,Bundesliga,Brazil,LB,['CB'],75,113
Marco Friedl,SV Werder Bremen,Bundesliga,Austria,CB,,75,93
Angelo Fulgini,RC Lens,Ligue 1 McDonald's,France,CAM,"['CM', 'LW']",75,45
James Garner,Everton,Premier League,England,CM,['CDM'],75,33
Yann Gboho,Toulouse FC,Ligue 1 McDonald's,France,CAM,['LM'],75,91
Billy Gilmour,SSC Napoli,Serie A Enilive,Scotland,CDM,['CM'],75,20
Ben Godfrey,Atalanta,Serie A Enilive,England,CB,"['RB', 'LB']",75,40
Víctor Gómez,SC Braga,Liga Portugal,Spain,RB,['LB'],75,48
Kamil Grabara,VfL Wolfsburg,Bundesliga,Poland,GK,,75,63
Jacob Greaves,Ipswich,Premier League,England,CB,['LB'],75,99
Albert Grønbæk,Stade Rennais FC,Ligue 1 McDonald's,Denmark,CAM,['CM'],75,88
Marko Gruji?,FC Porto,Liga Portugal,Serbia,CM,['CDM'],75,27
Marco Grüll,SV Werder Bremen,Bundesliga,Austria,LM,['LW'],75,93
Javi Guerra,Valencia CF,LALIGA EA SPORTS,Spain,CM,['CDM'],75,22
Ander Guevara,D. Alavés,LALIGA EA SPORTS,Spain,CM,['CDM'],75,90
Pape Gueye,Villarreal CF,LALIGA EA SPORTS,Senegal,CM,['CDM'],75,32
Frédéric Guilbert,Lecce,Serie A Enilive,France,RB,"['CB', 'LB']",75,66
Taylor Harwood-Bellis,Southampton,Premier League,England,CB,,75,57
Nicolas Höfler,SC Freiburg,Bundesliga,Germany,CDM,['CM'],75,42
Hong Hyeon Seok,1. FSV Mainz 05,Bundesliga,Korea Republic,CAM,['CM'],75,85
Franco Israel,Sporting CP,Liga Portugal,Uruguay,GK,,75,26
Kristijan Jaki?,FC Augsburg,Bundesliga,Croatia,CDM,"['CM', 'CB']",75,107
James Justin,Leicester City,Premier League,England,LB,['RB'],75,87
Atakan Karazor,VfB Stuttgart,Bundesliga,Germany,CDM,['CM'],75,60
Michael Keane,Everton,Premier League,England,CB,,75,33
Mandela Keita,Parma,Serie A Enilive,Belgium,CDM,['CM'],75,101
Lloyd Kelly,Juventus,Serie A Enilive,England,CB,['LB'],75,18
Rani Khedira,Union Berlin,Bundesliga,Germany,CDM,['CM'],75,84
Cédric Kipré,Stade de Reims,Ligue 1 McDonald's,Côte d'Ivoire,CB,,75,89
